age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33, Private,2, Married-civ-spouse, Sales, Own-child, White, Male,27,11,61, Mexico, <=50K
37, Local-gov,7, Married-AF-spouse, Sales, Not-in-family, White, Male,10890,1424,20, Columbia, >50K
48, Private,5, Separated, Prof-specialty, Own-child, White, Female,8183,561,11, Ecuador, >50K
49, State-gov,7, Married-spouse-absent, Handlers-cleaners, Wife, Other, Male,14138,1636,9, India, <=50K
20, Without-pay,5, Divorced, Exec-managerial, Own-child, White, Female,919,228,10, Iran, <=50K
49, State-gov,8, Separated, Tech-support, Unmarried, Other, Male,24263,1970,28, India, >50K
69, Self-emp-not-inc,3, Married-AF-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,26,0,26, India, <=50K
31, Private,6, Married-AF-spouse, Farming-fishing, Wife, White, Female,3188,913,10, Laos, >50K
22, Local-gov,3, Never-married, Craft-repair, Own-child, White, Male,67,183,1, Hong, >50K
52, Private,7, Divorced, Handlers-cleaners, Wife, White, Male,12834,1044,8, Columbia, <=50K
50, ?,6, Married-AF-spouse, Sales, Wife, Other, Male,2410,170,61, El-Salvador, <=50K
48, Self-emp-not-inc,7, Never-married, Exec-managerial, Unmarried, White, Male,15936,1507,9, Vietnam, >50K
49, Private,7, Married-civ-spouse, Prof-specialty, Other-relative, Other, Male,22296,1709,28, ?, <=50K
48, ?,7, Separated, Handlers-cleaners, Unmarried, White, Female,20171,1478,27, Philippines, >50K
47, ?,7, Separated, Handlers-cleaners, Unmarried, White, Male,26334,1702,35, Holand-Netherlands, >50K
46, State-gov,8, Separated, Exec-managerial, Unmarried, White, Male,24450,1902,20, Columbia, >50K
37, Local-gov,7, Separated, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,11668,1454,21, Ecuador, >50K
21, Private,5, Divorced, Other-service, Husband, White, Female,1514,294,13, Taiwan, <=50K
38, Local-gov,7, Never-married, Transport-moving, Not-in-family, Black, Male,8533,669,47, Mexico, <=50K
51, Without-pay,8, Married-spouse-absent, Handlers-cleaners, Husband, Black, Male,18785,1769,22, Scotland, >50K
34, Self-emp-not-inc,8, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Male,16820,1126,37, Canada, <=50K
53, Never-worked,3, Married-spouse-absent, Sales, Husband, White, Male,36,10,78, United-States, <=50K
48, Without-pay,7, Married-spouse-absent, Farming-fishing, Own-child, White, Female,14279,816,18, Japan, >50K
42, Private,7, Never-married, Handlers-cleaners, Husband, Other, Female,10663,555,14, ?, >50K
41, Federal-gov,4, Married-AF-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,1061,135,66, Mexico, <=50K
42, Private,6, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Female,3292,142,28, Germany, <=50K
50, ?,7, Married-spouse-absent, Other-service, Own-child, White, Male,14573,1420,8, Laos, >50K
41, Self-emp-inc,8, Never-married, Farming-fishing, Own-child, White, Male,31307,1905,39, Cuba, >50K
39, Private,6, Never-married, Protective-serv, Husband, White, Female,6034,919,10, United-States, <=50K
46, State-gov,8, Married-spouse-absent, Machine-op-inspct, Other-relative, White, Male,29282,1976,26, Outlying-US(Guam-USVI-etc), <=50K
42, ?,6, Divorced, ?, Not-in-family, White, Male,3099,132,28, Columbia, <=50K
55, State-gov,7, Separated, Handlers-cleaners, Own-child, Other, Male,7969,1513,6, Philippines, >50K
50, Never-worked,6, Married-AF-spouse, Exec-managerial, Other-relative, White, Female,5927,294,54, Columbia, <=50K
48, State-gov,6, Separated, Farming-fishing, Unmarried, Other, Male,14669,858,19, Mexico, >50K
46, Self-emp-inc,8, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,28784,1652,37, Holand-Netherlands, >50K
42, State-gov,6, Married-civ-spouse, Exec-managerial, Own-child, White, Female,4584,225,6, Philippines, >50K
19, Private,5, Divorced, Transport-moving, Own-child, White, Female,579,163,9, Portugal, <=50K
24, State-gov,6, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Female,1393,48,6, Jamaica, <=50K
24, State-gov,7, Married-AF-spouse, Other-service, Husband, White, Female,2622,77,7, Canada, >50K
27, Private,4, Married-civ-spouse, Farming-fishing, Own-child, White, Female,536,119,35, Laos, <=50K
50, Federal-gov,5, Married-AF-spouse, Farming-fishing, Wife, White, Male,577,67,68, Ecuador, <=50K
19, Private,3, Divorced, Sales, Not-in-family, White, Male,14,74,1, Scotland, <=50K
41, ?,7, Married-AF-spouse, Other-service, Husband, White, Male,7348,982,11, Hong, >50K
53, State-gov,8, Never-married, Exec-managerial, Unmarried, White, Male,16850,1423,9, Canada, <=50K
28, Private,7, Divorced, Sales, Own-child, Asian-Pac-Islander, Female,5751,586,29, Hungary, >50K
37, Private,8, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,20103,1251,43, China, >50K
73, Self-emp-not-inc,4, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,149,1,30, Japan, <=50K
22, Private,5, Married-AF-spouse, Sales, Own-child, White, Female,929,188,17, France, <=50K
46, State-gov,7, Divorced, Machine-op-inspct, Unmarried, White, Female,21246,1186,26, Japan, >50K
25, State-gov,7, Divorced, Farming-fishing, Other-relative, White, Female,2070,60,5, Columbia, >50K
61, State-gov,6, Separated, Prof-specialty, Own-child, White, Female,3716,1085,4, United-States, <=50K
57, Private,7, Widowed, ?, Unmarried, Other, Male,6383,1227,7, United-States, >50K
40, Self-emp-not-inc,5, Separated, Farming-fishing, Unmarried, White, Female,213,10,14, Guatemala, <=50K
55, Never-worked,4, Married-civ-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Male,416,28,59, Germany, <=50K
61, Private,7, Married-spouse-absent, Sales, Own-child, White, Male,5437,546,2, India, <=50K
47, Self-emp-not-inc,8, Separated, ?, Not-in-family, Other, Male,19660,1686,13, Philippines, >50K
36, Never-worked,7, Never-married, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female,15316,1058,42, Columbia, <=50K
33, Local-gov,6, Divorced, Sales, Husband, Asian-Pac-Islander, Male,5692,1127,14, Laos, <=50K
49, Without-pay,7, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,7869,251,39, Hong, <=50K
52, Self-emp-not-inc,5, Married-AF-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,1345,85,58, Columbia, <=50K
46, Self-emp-inc,6, Married-spouse-absent, Handlers-cleaners, Wife, Black, Female,1273,46,27, United-States, <=50K
30, Never-worked,8, Married-spouse-absent, Exec-managerial, Wife, White, Female,8273,300,16, Nicaragua, <=50K
17, Private,3, Married-civ-spouse, Craft-repair, Own-child, White, Male,23,40,2, ?, <=50K
42, Private,7, Widowed, Protective-serv, Not-in-family, White, Male,13558,1346,19, India, >50K
65, Without-pay,5, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Female,849,13,35, India, <=50K
27, Federal-gov,7, Separated, Machine-op-inspct, Not-in-family, Other, Female,3939,128,9, Japan, >50K
46, State-gov,8, Married-spouse-absent, Protective-serv, Wife, Asian-Pac-Islander, Female,33910,1862,43, Philippines, >50K
27, Private,5, Never-married, Transport-moving, Wife, White, Female,936,565,5, Canada, >50K
25, Private,6, Married-civ-spouse, Priv-house-serv, Wife, White, Female,3377,638,15, ?, <=50K
22, Private,6, Married-spouse-absent, Exec-managerial, Husband, White, Male,2051,335,15, United-States, <=50K
44, Federal-gov,8, Never-married, Armed-Forces, Own-child, Other, Female,36313,1838,44, Iran, >50K
50, ?,7, Married-spouse-absent, ?, Own-child, White, Male,19545,1633,25, Vietnam, >50K
42, Private,8, Divorced, Other-service, Not-in-family, White, Male,25673,1897,33, Honduras, >50K
25, State-gov,7, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,2455,82,8, Cambodia, >50K
68, Never-worked,4, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,203,2,32, Japan, <=50K
49, Never-worked,7, Never-married, Sales, Wife, White, Male,8837,453,55, South, <=50K
23, Private,4, Divorced, Sales, Husband, White, Female,359,314,3, ?, >50K
21, Local-gov,4, Divorced, Sales, Not-in-family, White, Male,151,193,2, Scotland, >50K
33, Without-pay,8, Married-civ-spouse, Tech-support, Wife, Other, Female,13233,528,22, Mexico, <=50K
43, Without-pay,8, Divorced, Prof-specialty, Own-child, White, Male,29876,1545,38, ?, >50K
57, Local-gov,7, Married-civ-spouse, ?, Not-in-family, Other, Female,10283,1079,4, Puerto-Rico, <=50K
47, Local-gov,7, Married-AF-spouse, Exec-managerial, Not-in-family, White, Female,25304,1718,33, Portugal, <=50K
47, Local-gov,7, Married-spouse-absent, Protective-serv, Husband, Other, Female,16191,1667,11, Puerto-Rico, <=50K
46, Private,8, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,30683,1877,39, England, <=50K
53, Without-pay,8, Divorced, Adm-clerical, Husband, White, Male,15037,1249,8, Ecuador, <=50K
44, Federal-gov,7, Separated, Armed-Forces, Not-in-family, White, Male,12428,1180,14, Hong, <=50K
46, Private,8, Married-AF-spouse, ?, Not-in-family, White, Female,28522,1847,26, Guatemala, >50K
46, ?,5, Married-AF-spouse, Farming-fishing, Own-child, White, Female,2485,238,66, Japan, <=50K
24, State-gov,6, Divorced, Handlers-cleaners, Husband, White, Female,881,26,3, Mexico, <=50K
18, Private,4, Divorced, Priv-house-serv, Own-child, Asian-Pac-Islander, Female,52,69,2, Scotland, <=50K
59, Never-worked,6, Widowed, Adm-clerical, Unmarried, Other, Male,3340,70,39, Japan, <=50K
49, Self-emp-not-inc,8, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,17867,1858,16, United-States, <=50K
30, Private,7, Married-civ-spouse, Exec-managerial, Husband, Other, Female,5213,197,10, Guatemala, >50K
48, ?,8, Married-AF-spouse, Craft-repair, Husband, White, Male,19775,1638,13, Philippines, >50K
38, ?,7, Married-spouse-absent, Farming-fishing, Husband, White, Female,5194,266,26, Jamaica, <=50K
33, Private,6, Married-civ-spouse, Prof-specialty, Unmarried, Other, Female,3580,150,7, South, <=50K
39, Local-gov,8, Divorced, Transport-moving, Other-relative, Asian-Pac-Islander, Female,30593,1831,40, Dominican-Republic, <=50K
34, Without-pay,8, Separated, Sales, Other-relative, White, Female,16916,708,27, Japan, >50K
44, Self-emp-not-inc,4, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,966,119,70, Holand-Netherlands, <=50K
33, Local-gov,5, Divorced, Sales, Husband, White, Female,876,379,3, Philippines, >50K
57, Self-emp-not-inc,6, Married-spouse-absent, Handlers-cleaners, Other-relative, White, Male,2802,60,38, India, <=50K
36, Local-gov,6, Married-civ-spouse, Adm-clerical, Own-child, White, Female,4256,440,46, United-States, <=50K
45, Private,8, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Female,28401,1567,35, Dominican-Republic, >50K
44, Never-worked,8, Divorced, Handlers-cleaners, Husband, White, Female,33250,2121,33, Nicaragua, >50K
46, ?,8, Married-civ-spouse, ?, Wife, Black, Male,36274,2087,44, Yugoslavia, <=50K
54, Private,6, Separated, ?, Unmarried, Other, Female,8333,1104,11, Cambodia, >50K
50, Self-emp-inc,6, Married-spouse-absent, Machine-op-inspct, Husband, White, Female,1249,38,30, Iran, <=50K
49, Never-worked,5, Married-spouse-absent, Farming-fishing, Wife, White, Female,1688,140,64, India, <=50K
38, State-gov,8, Divorced, Farming-fishing, Husband, White, Female,15095,731,23, South, >50K
42, Self-emp-not-inc,8, Separated, Armed-Forces, Own-child, White, Female,34332,2002,40, Portugal, <=50K
34, Private,7, Never-married, Craft-repair, Own-child, Black, Male,7516,1238,17, Trinadad&Tobago, >50K
24, Self-emp-inc,6, Married-civ-spouse, Protective-serv, Not-in-family, Black, Female,2368,341,22, Hungary, <=50K
44, Local-gov,8, Never-married, Handlers-cleaners, Not-in-family, Other, Male,34894,1780,43, Laos, <=50K
24, Private,6, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,3203,439,18, Hungary, >50K
28, Private,7, Never-married, ?, Own-child, White, Male,8401,923,24, El-Salvador, <=50K
32, State-gov,5, Married-spouse-absent, Farming-fishing, Not-in-family, White, Female,448,25,8, Columbia, <=50K
20, Private,5, Divorced, Sales, Own-child, White, Female,648,218,8, Puerto-Rico, <=50K
48, Without-pay,8, Married-AF-spouse, Prof-specialty, Wife, Other, Female,28320,1899,24, Philippines, <=50K
25, Federal-gov,6, Married-civ-spouse, Craft-repair, Wife, White, Male,2313,334,22, Laos, <=50K
18, Private,4, Divorced, ?, Own-child, White, Female,85,72,3, United-States, <=50K
40, Private,5, Separated, Other-service, Unmarried, White, Female,725,35,18, United-States, >50K
46, ?,8, Separated, Handlers-cleaners, Wife, White, Male,22397,1859,18, Dominican-Republic, >50K
30, Private,6, Married-spouse-absent, Handlers-cleaners, Husband, Other, Female,2023,88,10, ?, >50K
34, Private,2, Married-AF-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,29,10,67, Puerto-Rico, <=50K
47, Private,7, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,19537,911,54, Peru, <=50K
51, ?,7, Married-AF-spouse, Farming-fishing, Husband, Other, Female,13346,529,47, Hong, <=50K
31, Private,7, Never-married, Priv-house-serv, Own-child, Asian-Pac-Islander, Male,10667,861,32, France, >50K
45, Private,3, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,244,42,75, Mexico, <=50K
27, Local-gov,5, Divorced, Exec-managerial, Not-in-family, White, Male,522,420,3, ?, <=50K
42, ?,7, Separated, Farming-fishing, Not-in-family, Other, Male,18931,1062,54, Japan, <=50K
54, Never-worked,5, Married-AF-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,929,56,57, Mexico, <=50K
31, Private,6, Separated, Other-service, Not-in-family, Asian-Pac-Islander, Male,2512,829,8, Columbia, >50K
40, Federal-gov,5, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,2168,231,61, Peru, <=50K
29, Private,5, Divorced, ?, Husband, White, Male,1243,607,5, Philippines, <=50K
37, Private,4, Married-civ-spouse, Farming-fishing, Own-child, White, Male,1234,165,57, United-States, <=50K
45, Private,8, Separated, Protective-serv, Husband, Black, Male,24331,1696,24, Holand-Netherlands, <=50K
54, Private,2, Married-AF-spouse, Sales, Not-in-family, White, Male,2,1,86, United-States, <=50K
50, Federal-gov,6, Married-civ-spouse, Farming-fishing, Wife, White, Male,6030,316,55, Poland, <=50K
64, Never-worked,5, Married-AF-spouse, Farming-fishing, Not-in-family, White, Male,622,24,42, El-Salvador, <=50K
42, Private,8, Never-married, ?, Own-child, Amer-Indian-Eskimo, Female,24819,1871,33, Japan, <=50K
40, State-gov,8, Married-AF-spouse, Craft-repair, Wife, White, Female,27569,1271,42, Laos, >50K
27, ?,7, Divorced, Protective-serv, Wife, Asian-Pac-Islander, Female,7448,881,23, Laos, <=50K
28, State-gov,7, Married-spouse-absent, Handlers-cleaners, Wife, White, Female,3440,132,11, Cambodia, >50K
41, Private,7, Married-spouse-absent, Prof-specialty, Unmarried, Other, Female,9195,468,13, Canada, >50K
46, Without-pay,8, Divorced, Protective-serv, Own-child, Other, Male,22059,1840,17, England, <=50K
54, Without-pay,7, Never-married, Priv-house-serv, Husband, White, Female,8366,754,4, Scotland, <=50K
37, Local-gov,5, Never-married, Exec-managerial, Not-in-family, White, Female,1135,363,3, France, <=50K
49, Without-pay,8, Separated, Other-service, Not-in-family, White, Female,19746,1437,15, Puerto-Rico, <=50K
42, ?,6, Never-married, ?, Own-child, White, Female,8993,622,59, Jamaica, <=50K
50, Private,5, Married-AF-spouse, Exec-managerial, Not-in-family, White, Female,801,82,67, Columbia, <=50K
35, Self-emp-inc,8, Married-AF-spouse, Adm-clerical, Wife, Other, Male,22355,1501,36, Cuba, >50K
38, Private,5, Married-civ-spouse, Sales, Own-child, White, Female,2138,238,57, Puerto-Rico, <=50K
48, State-gov,5, Never-married, Prof-specialty, Unmarried, Black, Female,10397,662,14, Cuba, >50K
59, Local-gov,6, Married-AF-spouse, Farming-fishing, Unmarried, Other, Male,3376,103,42, Guatemala, <=50K
48, Self-emp-not-inc,8, Married-civ-spouse, Craft-repair, Other-relative, Other, Male,28214,1980,34, Philippines, <=50K
40, Federal-gov,7, Married-AF-spouse, Transport-moving, Other-relative, Other, Female,19862,1136,49, Cuba, >50K
61, Self-emp-not-inc,7, Married-spouse-absent, ?, Not-in-family, White, Male,5534,544,2, Mexico, <=50K
31, Private,7, Never-married, Sales, Husband, Asian-Pac-Islander, Male,13352,1188,29, ?, <=50K
22, Private,5, Never-married, Farming-fishing, Own-child, White, Female,939,189,17, United-States, <=50K
72, Self-emp-not-inc,4, Married-AF-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,95,0,30, United-States, <=50K
36, Self-emp-not-inc,7, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,9477,461,26, Cambodia, <=50K
22, Private,4, Divorced, Sales, Wife, White, Female,278,79,21, Hungary, <=50K
52, ?,7, Married-AF-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,9847,401,48, Cuba, >50K
21, Private,5, Never-married, Exec-managerial, Not-in-family, White, Male,511,124,16, Portugal, <=50K
49, Private,5, Separated, ?, Husband, Other, Female,2678,124,3, ?, >50K
49, Local-gov,8, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,25040,1937,30, Canada, <=50K
47, Local-gov,6, Never-married, Sales, Not-in-family, White, Female,4043,520,4, Dominican-Republic, >50K
35, Self-emp-not-inc,6, Married-spouse-absent, Transport-moving, Not-in-family, White, Female,5438,1027,12, England, >50K
77, Self-emp-not-inc,3, Married-AF-spouse, Farming-fishing, Not-in-family, White, Male,21,0,26, Iran, <=50K
56, Private,6, Married-AF-spouse, Priv-house-serv, Not-in-family, White, Female,4931,195,46, Cuba, <=50K
45, Never-worked,8, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,35918,1442,47, England, <=50K
25, Self-emp-inc,6, Divorced, Armed-Forces, Not-in-family, White, Male,2117,590,10, Iran, <=50K
22, Self-emp-not-inc,5, Divorced, Exec-managerial, Other-relative, White, Female,255,8,2, United-States, >50K
37, Self-emp-inc,7, Married-civ-spouse, Sales, Own-child, White, Male,10645,805,46, India, <=50K
31, Self-emp-inc,6, Divorced, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,1195,58,9, Columbia, <=50K
46, State-gov,7, Separated, Adm-clerical, Other-relative, Other, Male,29653,1777,38, Portugal, >50K
54, State-gov,5, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,548,13,30, France, <=50K
50, Private,5, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,457,61,70, Vietnam, <=50K
36, Self-emp-inc,7, Married-AF-spouse, Priv-house-serv, Husband, White, Male,11166,853,44, Mexico, >50K
41, Private,3, Married-civ-spouse, Sales, Not-in-family, White, Male,157,32,74, Peru, <=50K
69, Self-emp-not-inc,6, Married-AF-spouse, Handlers-cleaners, Not-in-family, Other, Male,1713,302,1, Guatemala, <=50K
30, Without-pay,7, Married-AF-spouse, Armed-Forces, Unmarried, Other, Female,8152,326,18, Canada, >50K
39, ?,7, Divorced, Handlers-cleaners, Unmarried, White, Female,14943,754,22, Iran, >50K
39, Never-worked,5, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,3225,312,58, Peru, <=50K
46, State-gov,7, Married-spouse-absent, Transport-moving, Own-child, Other, Female,23717,1458,31, Italy, >50K
48, State-gov,7, Separated, Prof-specialty, Own-child, Other, Male,23588,1676,31, Peru, >50K
45, Without-pay,8, Widowed, Craft-repair, Not-in-family, White, Male,20532,766,42, Peru, >50K
47, Private,5, Married-spouse-absent, Prof-specialty, Unmarried, Other, Male,12220,859,16, Philippines, >50K
21, Private,5, Divorced, Transport-moving, Not-in-family, White, Female,420,280,4, Hong, <=50K
26, Private,7, Separated, Exec-managerial, Unmarried, White, Female,2316,73,6, United-States, >50K
38, Self-emp-inc,6, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,4253,407,51, France, <=50K
36, State-gov,7, Married-spouse-absent, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,8279,406,24, Jamaica, <=50K
31, Private,2, Married-civ-spouse, Farming-fishing, Husband, White, Female,4,3,56, France, <=50K
46, Private,8, Married-AF-spouse, ?, Other-relative, Asian-Pac-Islander, Male,20141,1493,19, Yugoslavia, >50K
58, Private,4, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,256,15,55, India, <=50K
37, Without-pay,7, Separated, Armed-Forces, Husband, White, Female,10806,534,28, France, <=50K
25, Private,6, Married-civ-spouse, Sales, Own-child, White, Female,3452,670,15, Japan, <=50K
58, Self-emp-inc,5, Married-spouse-absent, Adm-clerical, Husband, Other, Male,1477,64,47, Trinadad&Tobago, <=50K
34, Private,5, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,2260,299,44, Scotland, <=50K
36, Private,4, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,418,80,54, United-States, <=50K
57, Never-worked,5, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,535,12,32, Columbia, <=50K
34, Private,7, Married-AF-spouse, Other-service, Unmarried, White, Female,4283,210,18, Trinadad&Tobago, >50K
45, Local-gov,8, Married-AF-spouse, ?, Unmarried, White, Male,26578,1451,33, Outlying-US(Guam-USVI-etc), >50K
48, Private,6, Separated, Adm-clerical, Own-child, Black, Female,18356,1337,25, Japan, >50K
20, Private,4, Divorced, ?, Not-in-family, White, Female,334,230,4, Hong, <=50K
40, Federal-gov,8, Never-married, Farming-fishing, Wife, Other, Female,16744,794,36, Dominican-Republic, <=50K
